,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,league_to_name
0,FC Porto,Rui Jorge,19.0,Left-Back,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
1,FC Porto,Paulinho Santos,21.0,Defensive Midfield,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
5,FC Porto,Bino,19.0,Defensive Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
6,FC Porto,Jorge Silva,20.0,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
7,FC Porto,António Folha,21.0,Left Winger,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
9,FC Porto,Kiki,30.0,Attacking Midfield,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
40,Sporting CP,Stan Valckx,28.0,Centre-Back,PSV Eindhoven,?,in,Summer,,Liga Nos,1992,1992/1993,Eredivisie
61,Boavista FC,Tozé,23.0,Centre-Forward,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
65,Boavista FC,Pedro Venâncio,28.0,Centre-Back,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
67,Boavista FC,Litos,25.0,Attacking Midfield,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
79,Boavista FC,Pedro Barny,25.0,Centre-Back,Sporting CP,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
89,CS Marítimo,Jorge Andrade,29.0,Second Striker,FC Porto,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
93,CS Marítimo,Carlos Jorge,25.0,Centre-Back,Sporting CP,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
95,CS Marítimo,Jorge Costa,20.0,Centre-Back,FC Porto,"End of loanJun 30, 1992",out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
98,SC Farense,Hassan Nader,26.0,Centre-Forward,RCD Mallorca,?,in,Summer,,Liga Nos,1992,1992/1993,Primera Division
102,SC Farense,Quim,32.0,Defensive Midfield,Rio Ave FC,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
104,SC Farense,Eugénio,25.0,Right-Back,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
132,Gil Vicente FC,Nando,29.0,defence,SC Braga,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
138,Gil Vicente FC,Remco Boere,30.0,Centre-Forward,FC Zwolle,free transfer,out,Summer,0.0,Liga Nos,1992,1992/1993,Eredivisie
140,Gil Vicente FC,Camberra,21.0,Central Midfield,Rio Ave FC,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
144,Gil Vicente FC,Zé Nuno,22.0,Right-Back,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
145,Gil Vicente FC,Nuno Capucho,20.0,Right Winger,Sporting CP,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
148,FC Paços de Ferreira,Tulipa,19.0,Attacking Midfield,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
154,FC Paços de Ferreira,Carlos Padrão,32.0,Goalkeeper,FC Porto,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
157,FC Paços de Ferreira,Nikola Spasov,33.0,attack,Rio Ave FC,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
161,Vitória Guimarães SC,Paulo Pereira,26.0,Right-Back,FC Porto,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
162,Vitória Guimarães SC,João Oliveira Pinto,20.0,Right Winger,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
164,Vitória Guimarães SC,José Lima,25.0,Left Winger,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
175,SC Braga,Toni,25.0,Centre-Forward,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
180,SC Braga,Kiki,30.0,Attacking Midfield,FC Porto,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
182,SC Braga,António Folha,21.0,Left Winger,FC Porto,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
188,SC Braga,Augusto Gama,22.0,Right Winger,Rio Ave FC,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
189,SC Braga,Barroso,21.0,Central Midfield,Rio Ave FC,loan transfer,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
193,GD Estoril Praia,Aziz Bouderbala,31.0,Attacking Midfield,Olympique Lyon,?,in,Summer,,Liga Nos,1992,1992/1993,Ligue 1
204,FC Famalicão,Thierry Pauk,26.0,defence,FC Metz,?,in,Summer,,Liga Nos,1992,1992/1993,Ligue 1
206,FC Famalicão,Jorginho,30.0,Centre-Back,Sporting CP,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
208,FC Famalicão,Petar Mihtarski,25.0,Centre-Forward,FC Porto,loan transfer,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
209,FC Famalicão,Careca,23.0,Attacking Midfield,Sporting CP,loan transfer,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
210,FC Famalicão,Secretário,22.0,Right-Back,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
212,FC Famalicão,Amarildo,27.0,attack,CD Logroñés,?,out,Summer,,Liga Nos,1992,1992/1993,Primera Division
223,FC Tirsense,Cao,23.0,Defensive Midfield,Rio Ave FC,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
226,FC Tirsense,Carlos Carvalhal,26.0,Centre-Back,SC Braga,?,in,Summer,,Liga Nos,1992,1992/1993,Liga Nos
227,FC Tirsense,Toninho Cruz,23.0,Defensive Midfield,CA Felgueiras,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
246,GD Chaves,Rui Correia,24.0,Goalkeeper,SC Braga,?,out,Summer,,Liga Nos,1992,1992/1993,Liga Nos
263,GD Estoril Praia,Tomislav Ivkovic,32.0,Goalkeeper,Sporting CP,?,in,Winter,,Liga Nos,1992,1992/1993,Liga Nos
264,FC Famalicão,Careca,24.0,Attacking Midfield,Sporting CP,"End of loanDec 1, 1992",out,Winter,,Liga Nos,1992,1992/1993,Liga Nos
282,SL Benfica,Pacheco,26.0,Left Winger,Sporting CP,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
285,SL Benfica,Paulo Sousa,22.0,Central Midfield,Sporting CP,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
292,FC Porto,António Folha,22.0,Left Winger,SC Braga,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
293,FC Porto,Secretário,23.0,Right-Back,SC Braga,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
300,FC Porto,Neves,22.0,Right-Back,SC Braga,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
306,FC Porto,Jorge Silva,21.0,Goalkeeper,Rio Ave FC,loan transfer,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
320,Boavista FC,Pedro Barny,26.0,Centre-Back,Sporting CP,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
321,Boavista FC,Valente,28.0,Goalkeeper,FC Porto,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
327,Boavista FC,Costinha,19.0,Goalkeeper,Sporting CP,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
328,Boavista FC,Zoran Lemajic,32.0,Goalkeeper,Sporting CP,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
338,CS Marítimo,Paulo Alves,23.0,Centre-Forward,SC Braga,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
342,Vitória Setúbal FC,Chiquinho Carlos,30.0,Attacking Midfield,SC Braga,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
345,Vitória Setúbal FC,Clint Marcelle,24.0,midfield,Rio Ave FC,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
364,Vitória Guimarães SC,Paulo Pereira,27.0,Right-Back,FC Porto,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
369,SC Farense,Goran Stevanovic,26.0,midfield,CA Osasuna,free transfer,in,Summer,0.0,Liga Nos,1993,1993/1994,Primera Division
378,SC Salgueiros,Bino,20.0,Defensive Midfield,FC Porto,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
380,SC Salgueiros,Luís Manuel,22.0,Defensive Midfield,Sporting CP,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
387,SC Salgueiros,Vinha,26.0,Centre-Forward,FC Porto,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
389,SC Salgueiros,Paulo Monteiro,29.0,Central Midfield,SC Braga,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
407,CF Os Belenenses,Toninho Cruz,24.0,Defensive Midfield,CA Felgueiras,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
438,SC Braga,Neves,22.0,Right-Back,FC Porto,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
445,SC Braga,Barroso,22.0,Central Midfield,Rio Ave FC,"End of loanJun 30, 1993",in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
447,SC Braga,António Folha,22.0,Left Winger,FC Porto,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
448,SC Braga,Secretário,23.0,Right-Back,FC Porto,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
451,SC Braga,Toni,26.0,Centre-Forward,Rio Ave FC,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
458,FC Paços de Ferreira,Kiki,31.0,Attacking Midfield,SC Braga,?,in,Summer,,Liga Nos,1993,1993/1994,Liga Nos
467,FC Paços de Ferreira,Jaime Pacheco,35.0,Central Midfield,SC Braga,?,out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
470,FC Famalicão,Goran Milanko,24.0,Central Midfield,Cádiz CF,?,in,Summer,,Liga Nos,1993,1993/1994,Primera Division
473,FC Famalicão,Amarildo,28.0,attack,CD Logroñés,?,in,Summer,,Liga Nos,1993,1993/1994,Primera Division
479,FC Famalicão,Thierry Pauk,27.0,defence,LB Châteauroux,?,out,Summer,,Liga Nos,1993,1993/1994,Ligue 1
480,FC Famalicão,Petar Mihtarski,27.0,Centre-Forward,FC Porto,"End of loanSep 1, 1993",out,Summer,,Liga Nos,1993,1993/1994,Liga Nos
493,SL Benfica,Aleksandr Mostovoy,25.0,Attacking Midfield,SM Caen,loan transfer,out,Winter,,Liga Nos,1993,1993/1994,Ligue 1
497,FC Porto,Toni,21.0,Centre-Forward,SC Braga,?,out,Winter,,Liga Nos,1993,1993/1994,Liga Nos
500,CS Marítimo,Paulo Alves,23.0,Centre-Forward,SC Braga,?,in,Winter,,Liga Nos,1993,1993/1994,Liga Nos
506,Gil Vicente FC,Tozé,28.0,attack,FC Porto,?,in,Winter,,Liga Nos,1993,1993/1994,Liga Nos
507,Gil Vicente FC,Ljubinko Drulovic,25.0,Left Winger,FC Porto,?,out,Winter,,Liga Nos,1993,1993/1994,Liga Nos
512,SC Braga,Toni,21.0,Centre-Forward,FC Porto,?,in,Winter,,Liga Nos,1993,1993/1994,Liga Nos
529,FC Porto,Fernando Couto,24.0,Centre-Back,AC Parma,€2.70m,out,Summer,2.7,Liga Nos,1994,1994/1995,Serie A
536,Sporting CP,Emmanuel Amunike,23.0,Left Winger,MSV Duisburg,€1.75m,in,Summer,1.75,Liga Nos,1994,1994/1995,1 Bundesliga
539,Sporting CP,Carlos Xavier,32.0,Defensive Midfield,Real Sociedad,?,in,Summer,,Liga Nos,1994,1994/1995,Primera Division
542,Sporting CP,Oceano Cruz,31.0,Defensive Midfield,Real Sociedad,?,in,Summer,,Liga Nos,1994,1994/1995,Primera Division
545,Sporting CP,Noureddine Naybet,24.0,Centre-Back,FC Nantes,?,in,Summer,,Liga Nos,1994,1994/1995,Ligue 1
561,SL Benfica,Amaral,24.0,Right Winger,Sporting CP,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
563,SL Benfica,Paulo Pereira,28.0,Right-Back,FC Porto,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
570,SL Benfica,Mario Stanic,22.0,Right Winger,Sporting Gijón,?,in,Summer,,Liga Nos,1994,1994/1995,Primera Division
578,SL Benfica,Aleksandr Mostovoy,25.0,Attacking Midfield,SM Caen,"End of loanJun 30, 1994",in,Summer,,Liga Nos,1994,1994/1995,Ligue 1
587,SL Benfica,Sergey Yuran,25.0,Centre-Forward,FC Porto,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
588,SL Benfica,Vasiliy Kulkov,28.0,Centre-Back,FC Porto,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
609,SC Farense,King,24.0,Centre-Back,SC Braga,free transfer,in,Summer,0.0,Liga Nos,1994,1994/1995,Liga Nos
611,SC Farense,Peter Rufai,30.0,Goalkeeper,Go Ahead Eagles,?,in,Summer,,Liga Nos,1994,1994/1995,Eredivisie
617,SC Farense,Paulo Pilar,22.0,Central Midfield,Sporting CP,loan transfer,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
622,União de Leiria,Poejo,20.0,Defensive Midfield,Sporting CP,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
626,União de Leiria,Uche Okafor,26.0,Centre-Back,Hannover 96,?,in,Summer,,Liga Nos,1994,1994/1995,1 Bundesliga
633,CS Marítimo,Carlos Jorge,27.0,Centre-Back,Sporting CP,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
646,FC Tirsense,Porfírio,20.0,Centre-Forward,Sporting CP,loan transfer,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
661,Boavista FC,Ion Timofte,26.0,Left Midfield,FC Porto,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
677,Boavista FC,Litos,27.0,Attacking Midfield,SC Braga,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
687,SC Salgueiros,Vinha,27.0,Centre-Forward,FC Porto,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
698,SC Salgueiros,Ricardo Sá Pinto,21.0,Second Striker,Sporting CP,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
699,SC Salgueiros,Pedrosa,22.0,Central Midfield,Sporting CP,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
708,CF Os Belenenses,Leal,29.0,Centre-Back,Sporting CP,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
725,CF Os Belenenses,Émerson,22.0,Defensive Midfield,FC Porto,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
730,Gil Vicente FC,Neves,23.0,Right-Back,SC Braga,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
760,Clube Futebol Estrela da Amadora,Gil,21.0,Left Winger,SC Braga,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
772,CF União Madeira,Marco Aurelio,27.0,Centre-Back,Sporting CP,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
777,SC Beira-Mar,Toni,21.0,Centre-Forward,SC Braga,?,in,Summer,,Liga Nos,1994,1994/1995,Liga Nos
804,Vitória Setúbal FC,Chiquinho Conde,28.0,Centre-Forward,Sporting CP,?,out,Summer,,Liga Nos,1994,1994/1995,Liga Nos
811,Sporting CP,Stan Valckx,31.0,Centre-Back,PSV Eindhoven,?,out,Winter,,Liga Nos,1994,1994/1995,Eredivisie
828,CF Os Belenenses,Toninho Cruz,25.0,Defensive Midfield,Rio Ave FC,?,out,Winter,,Liga Nos,1994,1994/1995,Liga Nos
848,FC Porto,Jorge Silva,23.0,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1995",in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
859,FC Porto,Sérgio Conceição,20.0,Right Winger,CA Felgueiras,loan transfer,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
864,SL Benfica,Mario Marinho,24.0,Right-Back,Sporting CP,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
890,SL Benfica,William,27.0,Centre-Back,SC Bastia,?,out,Summer,,Liga Nos,1995,1995/1996,Ligue 1
893,SL Benfica,Amaral,25.0,Right Winger,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
920,Sporting CP,Krasimir Balakov,29.0,Attacking Midfield,VfB Stuttgart,€2.10m,out,Summer,2.1,Liga Nos,1995,1995/1996,1 Bundesliga
921,Sporting CP,Emilio Peixe,22.0,Defensive Midfield,Sevilla FC,€1.20m,out,Summer,1.2,Liga Nos,1995,1995/1996,Primera Division
944,Boavista FC,Hélder Baptista,23.0,Defensive Midfield,SC Braga,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
946,Boavista FC,Litos,21.0,Centre-Back,Rio Ave FC,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
959,Boavista FC,Rosario,30.0,attack,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
978,Vitória Guimarães SC,Nuno Capucho,23.0,Right Winger,Sporting CP,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
980,Vitória Guimarães SC,Pedro Barbosa,24.0,Central Midfield,Sporting CP,free transfer,out,Summer,0.0,Liga Nos,1995,1995/1996,Liga Nos
984,Vitória Guimarães SC,Zé Carlos,33.0,Goalkeeper,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
986,Vitória Guimarães SC,Pedro Martins,24.0,Defensive Midfield,Sporting CP,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
992,CF Os Belenenses,Pacheco,28.0,Left Winger,Sporting CP,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1011,CF Os Belenenses,Catanha,23.0,Centre-Forward,UD Salamanca,€480Th.,out,Summer,0.48,Liga Nos,1995,1995/1996,Primera Division
1020,CF Os Belenenses,Álvaro Teixeira,31.0,Right-Back,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1026,CF Os Belenenses,Bino,22.0,Defensive Midfield,FC Porto,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1027,CF Os Belenenses,João Manuel Pinto,22.0,Centre-Back,FC Porto,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1030,CF Os Belenenses,Leal,30.0,Centre-Back,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1042,União de Leiria,Porfírio,21.0,Centre-Forward,Sporting CP,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1068,CS Marítimo,Zoran Lemajic,34.0,Goalkeeper,Sporting CP,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1069,CS Marítimo,Fernando Pires,26.0,Attacking Midfield,SC Braga,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1073,CS Marítimo,Mário Jorge,25.0,Central Midfield,Sporting CP,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1078,CS Marítimo,Vado,26.0,Central Midfield,SC Braga,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1082,CS Marítimo,Paulo Alves,25.0,Centre-Forward,Sporting CP,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1092,SC Farense,Eugénio,28.0,Right-Back,SC Braga,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1105,SC Farense,Floris Schaap,30.0,Centre-Back,SC Braga,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1108,SC Farense,Paulo Pilar,23.0,Central Midfield,Sporting CP,"End of loanJun 30, 1995",out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1116,SC Salgueiros,Jorge Silva,23.0,Goalkeeper,FC Porto,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1119,SC Salgueiros,Edmílson,23.0,Second Striker,FC Porto,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1123,Gil Vicente FC,Mandla Zwane,22.0,attack,FC Porto,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1128,Gil Vicente FC,Pedrosa,23.0,Central Midfield,Sporting CP,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1160,GD Chaves,Dani Díaz,21.0,midfield,Sporting Gijón,?,in,Summer,,Liga Nos,1995,1995/1996,Primera Division
1163,GD Chaves,Iván Miner,24.0,midfield,Sporting Gijón,?,in,Summer,,Liga Nos,1995,1995/1996,Primera Division
1167,GD Chaves,Lino,23.0,Left-Back,SC Braga,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1177,Leça FC,Milan Djurdjevic,27.0,attack,RCD Mallorca,free transfer,in,Summer,0.0,Liga Nos,1995,1995/1996,Primera Division
1180,Leça FC,Jaime Magalhães,32.0,Right Midfield,FC Porto,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1184,Leça FC,Earl Jean,23.0,Centre-Forward,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1187,Leça FC,Sérgio Conceição,20.0,Right Winger,FC Porto,"End of loanJun 30, 1995",out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1196,CA Felgueiras,Sérgio Conceição,20.0,Right Winger,FC Porto,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1206,SC Campomaiorense (- 2001),Paulo Torres,23.0,Left-Back,Sporting CP,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1209,SC Campomaiorense (- 2001),Beto,19.0,Centre-Back,Sporting CP,loan transfer,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1218,FC Tirsense,Toninho Cruz,26.0,Defensive Midfield,Rio Ave FC,?,in,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1220,FC Tirsense,Samson Siasia,27.0,attack,FC Nantes,?,in,Summer,,Liga Nos,1995,1995/1996,Ligue 1
1230,FC Tirsense,Rui Gregório,26.0,Centre-Back,CA Felgueiras,?,out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1231,FC Tirsense,Porfírio,21.0,Centre-Forward,Sporting CP,"End of loanJun 30, 1995",out,Summer,,Liga Nos,1995,1995/1996,Liga Nos
1243,Sporting CP,Emilio Peixe,22.0,Defensive Midfield,Sevilla FC,€1.50m,in,Winter,1.5,Liga Nos,1995,1995/1996,Primera Division
1252,CF Os Belenenses,Chiquinho Conde,30.0,Centre-Forward,Sporting CP,?,in,Winter,,Liga Nos,1995,1995/1996,Liga Nos
1255,CF Os Belenenses,Mauro Soares,27.0,Defensive Midfield,Sporting CP,?,out,Winter,,Liga Nos,1995,1995/1996,Liga Nos
1263,SC Salgueiros,Jorge Silva,24.0,Goalkeeper,FC Porto,"End of loanMar 31, 1996",out,Winter,,Liga Nos,1995,1995/1996,Liga Nos
1266,GD Chaves,João Pedro Sousa,24.0,Centre-Forward,Rio Ave FC,?,out,Winter,,Liga Nos,1995,1995/1996,Liga Nos
1269,Leça FC,Matias,31.0,Centre-Back,FC Porto,?,out,Winter,,Liga Nos,1995,1995/1996,Liga Nos
1278,FC Porto,Barroso,25.0,Central Midfield,SC Braga,€500Th.,in,Summer,0.5,Liga Nos,1996,1996/1997,Liga Nos
1285,FC Porto,João Costa,22.0,Defensive Midfield,CA Felgueiras,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1289,FC Porto,Sérgio Conceição,21.0,Right Winger,CA Felgueiras,"End of loanJun 30, 1996",in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1293,FC Porto,Secretário,26.0,Right-Back,Real Madrid,€1.50m,out,Summer,1.5,Liga Nos,1996,1996/1997,Primera Division
1295,FC Porto,Romeu,21.0,Centre-Forward,CA Felgueiras,loan transfer,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1300,FC Porto,Bandeirinha,33.0,Right-Back,CA Felgueiras,?,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1329,Sporting CP,Nélson,24.0,Right-Back,Aston Villa,?,out,Summer,,Liga Nos,1996,1996/1997,Premier League
1353,SL Benfica,Paulo Bento,27.0,Defensive Midfield,Real Oviedo,€1.38m,out,Summer,1.38,Liga Nos,1996,1996/1997,Primera Division
1355,SL Benfica,King,26.0,Centre-Back,LB Châteauroux,free transfer,out,Summer,0.0,Liga Nos,1996,1996/1997,Ligue 1
1374,SC Braga,Barroso,25.0,Central Midfield,FC Porto,€500Th.,out,Summer,0.5,Liga Nos,1996,1996/1997,Liga Nos
1382,SC Braga,Srdjan Obradovic,26.0,Centre-Back,FC Utrecht,?,out,Summer,,Liga Nos,1996,1996/1997,Eredivisie
1391,Vitória Guimarães SC,Patrick Vervoort,31.0,Left Midfield,RKC Waalwijk,?,in,Summer,,Liga Nos,1996,1996/1997,Eredivisie
1392,Vitória Guimarães SC,Vítor Nóvoa,33.0,Goalkeeper,FC Porto,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1405,Vitória Guimarães SC,Zlatko Zahovic,25.0,Attacking Midfield,FC Porto,?,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1409,SC Salgueiros,Jorge Silva,24.0,Goalkeeper,FC Porto,free transfer,in,Summer,0.0,Liga Nos,1996,1996/1997,Liga Nos
1419,Boavista FC,Jorge Couto,26.0,Right Midfield,FC Porto,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1421,Boavista FC,Russell Latapy,27.0,Attacking Midfield,FC Porto,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1429,Boavista FC,Miguel Serodio,27.0,defence,UD Salamanca,?,out,Summer,,Liga Nos,1996,1996/1997,Primera Division
1431,Boavista FC,Artur Oliveira,26.0,Second Striker,FC Porto,?,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1438,CS Marítimo,Zé Carlos,31.0,Centre-Back,FC Porto,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1439,CS Marítimo,Filipe Ramos,26.0,Central Midfield,Sporting CP,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1441,CS Marítimo,Edgardo Simovic,21.0,Centre-Forward,Liverpool FC,loan transfer,in,Summer,,Liga Nos,1996,1996/1997,Premier League
1442,CS Marítimo,Nuno Valente,21.0,Left-Back,Sporting CP,loan transfer,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1456,CS Marítimo,Mário Jorge,26.0,Central Midfield,Sporting CP,"End of loanJun 30, 1996",out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1459,Clube Futebol Estrela da Amadora,Mário Jorge,26.0,Central Midfield,Sporting CP,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1461,Clube Futebol Estrela da Amadora,Leal,31.0,Centre-Back,CA Felgueiras,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1466,Clube Futebol Estrela da Amadora,Eliseu,27.0,Centre-Back,CA Felgueiras,?,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1469,Clube Futebol Estrela da Amadora,Andrade,22.0,Defensive Midfield,Sporting CP,?,out,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1472,GD Chaves,Raúl Santos,27.0,Centre-Back,Sporting Gijón,free transfer,in,Summer,0.0,Liga Nos,1996,1996/1997,Primera Division
1476,GD Chaves,Luis Vasco,29.0,Goalkeeper,Sporting CP,?,in,Summer,,Liga Nos,1996,1996/1997,Liga Nos
1482,GD Chaves,Roberto Matute,23.0,Centre-Forward,CD Logroñés,?,in,Summer,,Liga Nos,1996,1996/1997,Primera Division
